official_id,first_name,last_name,jersey_num,game_id
2530,Ed,Malloy,73,0020300158
1180,Jack,Nies,35,0020300158
1176,Monty,McCutchen,13,0020300158
1199,Tom,Washington,49,0020501062
2003,Pat,Fraher,52,0020501062
1161,Joe,Forte,45,0020501062
200834,Mark,Lindsay,53,0020700980
2001,Jason,Phillips,23,0020700980
1151,Sean,Corbin,33,0020700980
1152,Dan,Crawford,43,0020701184
1198,Scott,Wall,31,0020701184
2005,Matt,Boland,46,0020701184
1142,Dick,Bavetta,27,0020800675
1204,Derek,Richardson,63,0020800675
1662,Bill,Kennedy,55,0020800675
1198,Scott,Wall,31,0020900632
2001,Jason,Phillips,23,0020900632
1147,Mike,Callahan,24,0020900632
101284,John,Goble,30,0021100295
1662,Bill,Kennedy,55,0021100295
201245,Marat,Kogut,68,0021100295
2878,Tommy,Nunez Jr.,28,0021100456
1153,Joe,Crawford,17,0021100456
1168,David,Jones,36,0021100456
1153,Joe,Crawford,17,0021100866
1363,Bennie,Adams,47,0021100866
201638,Brent,Barnaky,70,0021100866
1176,Monty,McCutchen,13,0021200934
1198,Scott,Wall,31,0021200934
2001,Jason,Phillips,23,0021200934
1830,Marc,Davis,8,0021400490
202037,J.T.,Orr,72,0021400490
2003,Pat,Fraher,26,0021400490
2529,Tony,Brown,6,0021400896
1199,Tom,Washington,49,0021400896
203177,Lauren,Holtkamp,7,0021400896
1830,Marc,Davis,8,0021500362
101283,Brian,Forte,45,0021500362
202035,Brett,Nansel,67,0021500362
2715,Eric,Lewis,42,0021501217
101283,Brian,Forte,45,0021501217
1147,Mike,Callahan,24,0021501217
1664,Gary,Zielinski,59,0021600279
2882,Sean,Wright,4,0021600279
2715,Eric,Lewis,42,0021600279
200834,Mark,Lindsay,29,0021600526
1204,Derek,Richardson,63,0021600526
2882,Sean,Wright,4,0021600526
1198,Scott,Wall,31,0021600606
1174,Ken,Mauer,41,0021600606
1193,Michael,Smith,38,0021600606
204058,Gediminas,Petraitis,50,0021700686
2005,Matt,Boland,18,0021700686
1662,Bill,Kennedy,55,0021700686
